Date,Buoy,Latitude,Longitude,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Value
2023-03-01,CTD6,37.710417,-0.778383,6,8,7,2,1,1,1,1,1,0,1,1,255,0.22072518
2023-03-01,CTD7,37.718,-0.839783,9,14,15,3,2,2,2,2,2,1,1,0,255,0.21581104
2023-03-01,CTD8,37.694517,-0.8104,12,18,19,5,3,2,2,1,1,0,1,0,255,0.17137232
2023-03-01,CTD10,37.659833,-0.781967,7,9,9,3,2,2,2,2,1,0,1,0,255,0.10394127
2023-03-01,CTD11,37.6518,-0.728883,9,12,11,4,3,2,2,2,1,1,1,1,255,0.1281166
2023-03-01,CTD12,37.68735,-0.783783,6,7,7,2,2,1,2,1,1,0,1,1,255,0.15581311
2023-09-27,CTD1,37.8118,-0.784483,5,5,5,2,1,0,1,1,0,0,1,1,255,0.63505304
2023-09-27,CTD2,37.760617,-0.8078,6,6,5,1,1,1,1,1,1,0,1,0,255,0.80525243
2023-09-27,CTD3,37.761783,-0.78355,5,6,5,2,1,1,1,0,1,0,0,0,255,0.66906637
2023-09-27,CTD4,37.748233,-0.749617,3,5,6,1,1,1,1,1,0,0,1,1,255,0.4373632
2023-09-27,CTD6,37.710417,-0.778383,4,5,4,1,1,0,1,0,0,0,0,0,255,0.26406893
2023-09-27,CTD7,37.718,-0.839783,6,10,12,3,2,1,1,1,1,0,0,1,255,0.6211726
2023-09-27,CTD8,37.694517,-0.8104,10,14,18,6,4,1,1,1,1,0,0,1,255,0.4119516
2023-09-27,CTD10,37.659833,-0.781967,5,6,5,1,1,1,1,1,0,0,1,0,255,0.41891047
2023-09-27,CTD11,37.6518,-0.728883,7,8,8,2,2,1,1,1,1,0,1,1,255,0.5438913
2023-09-27,CTD12,37.68735,-0.783783,5,5,5,1,1,0,1,0,0,0,0,0,255,0.32690275
2023-11-16,CTD1,37.8118,-0.784483,26,36,37,33,37,32,27,44,25,52,41,35,255,0.11915114
2023-11-16,CTD2,37.760617,-0.8078,6,6,5,2,2,1,2,1,1,0,1,1,255,0.5088414
2023-11-16,CTD3,37.761783,-0.78355,4,5,4,1,1,1,1,0,1,0,0,0,255,0.38899976
2023-11-16,CTD4,37.748233,-0.749617,5,6,6,2,1,0,1,0,0,0,0,0,255,0.33754364
2023-11-16,CTD6,37.710417,-0.778383,5,7,6,2,1,1,1,0,0,0,1,0,255,0.85278326
2023-11-16,CTD7,37.718,-0.839783,7,12,15,3,2,1,1,1,1,0,0,1,255,0.63305265
2023-11-16,CTD8,37.694517,-0.8104,6,10,13,3,2,1,1,0,1,0,0,1,255,0.59785515
2023-11-16,CTD10,37.659833,-0.781967,3,3,5,1,1,0,1,0,0,0,1,1,255,0.5599329
2023-11-16,CTD11,37.6518,-0.728883,6,9,8,2,2,1,1,1,1,0,1,1,255,0.46832848
2023-11-16,CTD12,37.68735,-0.783783,2,4,3,1,1,1,1,0,1,0,0,1,255,0.71098024
2024-05-29,CTD1,37.8118,-0.784483,19,20,21,17,17,16,15,17,15,13,15,13,255,0.36750725
2024-05-29,CTD2,37.760617,-0.8078,19,20,21,17,17,16,16,16,16,14,14,13,255,0.3407336
2024-05-29,CTD3,37.761783,-0.78355,18,20,21,16,17,15,14,15,14,12,14,12,255,0.23553456
2024-05-29,CTD4,37.748233,-0.749617,18,22,23,17,17,16,16,16,16,13,15,13,255,0.2885321
2024-05-29,CTD6,37.710417,-0.778383,19,20,20,16,17,16,16,16,15,13,14,13,255,0.25605935
2024-05-29,CTD7,37.718,-0.839783,20,25,28,17,16,16,16,17,15,13,14,12,255,0.40147457
2024-05-29,CTD8,37.694517,-0.8104,23,28,31,20,19,16,16,16,15,13,14,12,255,0.31439734
2024-05-29,CTD10,37.659833,-0.781967,17,18,19,16,16,15,15,16,15,12,14,13,255,0.23449284
2024-05-29,CTD11,37.6518,-0.728883,22,20,22,17,17,18,17,15,18,16,17,16,255,0.10090373
2024-05-29,CTD12,37.68735,-0.783783,16,18,17,14,14,14,13,14,13,11,12,11,255,0.25244668
2023-04-20,CTD1,37.8118,-0.784483,8,9,8,6,7,6,6,6,6,4,6,5,255,0.3277876
2023-04-20,CTD2,37.760617,-0.8078,9,10,9,7,7,7,7,6,7,5,6,5,255,0.26848963
2023-04-20,CTD3,37.761783,-0.78355,11,11,11,8,7,8,8,7,7,6,7,6,255,0.3169837
2023-04-20,CTD4,37.748233,-0.749617,12,16,16,9,8,8,8,9,7,6,8,7,255,0.379963
2023-04-20,CTD6,37.710417,-0.778383,11,12,13,10,9,8,9,9,8,7,8,7,255,0.47297576
2023-04-20,CTD7,37.718,-0.839783,14,20,23,7,6,4,5,4,4,3,3,3,255,0.21785852
2023-04-20,CTD8,37.694517,-0.8104,15,21,24,10,8,6,7,6,5,5,5,5,255,0.44099072
2023-04-20,CTD10,37.659833,-0.781967,9,11,11,8,8,8,8,8,7,6,7,6,255,0.21775623
2023-04-20,CTD11,37.6518,-0.728883,11,14,13,8,7,6,7,6,6,6,7,6,255,0.19331561
2023-04-20,CTD12,37.68735,-0.783783,11,13,13,10,10,9,9,10,9,7,8,8,255,0.36793202
2022-06-24,CTD1,37.8118,-0.784483,38,29,34,34,39,39,41,31,42,65,41,44,255,0.32724452
2022-06-24,CTD2,37.760617,-0.8078,18,17,17,15,15,14,14,14,14,15,12,11,255,0.32095453
2022-06-24,CTD3,37.761783,-0.78355,27,29,27,23,23,22,22,23,21,26,20,19,255,0.24543118
2022-06-24,CTD4,37.748233,-0.749617,14,18,16,14,13,11,11,15,10,22,8,8,255,0.7771343
2022-06-24,CTD6,37.710417,-0.778383,52,25,31,31,38,44,49,29,47,123,26,29,255,0.34804472
