Date,Buoy,Latitude,Longitude,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Band_14,Band_15,Band_16,Chl
2021-08-13,CTD2,4181518.346026066,693105.1561410306,0.008863068,0.013834733,0.021718092,0.009066693,0.006848334,0.0019784293,0.0019230167,0.0007669958,0.008844954,0.013810423,0.021677177,0.009033511,0.0069528637,0.0019416125,0.25422695,-0.0,3.4403848
2021-08-13,CTD3,4181698.0921413857,695238.4758410116,0.008120603,0.013103605,0.021999892,0.012088856,0.011156175,0.0035109564,0.0034507196,0.0013694833,0.008083996,0.012944729,0.022070369,0.012102932,0.010767194,0.0035150151,0.50282925,-0.0,2.9221787874999996
2021-08-13,CTD4,4180265.85759629,698264.0657476727,0.00477264,0.011250123,0.017628867,0.0031541362,0.0018713641,0.0004815811,0.0004666221,0.00018359996,0.004723,0.011517408,0.017644802,0.0030944347,0.0019705612,0.00047127157,0.0039658523,-0.0,1.9433515499999998
2021-08-13,CTD6,4176008.900458722,695829.0091863506,0.013274495,0.018613987,0.026538072,0.013795961,0.012347962,0.00406746,0.0039737504,0.0015995031,0.013053553,0.01847986,0.0264683,0.013539445,0.012047437,0.003956272,0.40681258,-0.0,4.7717140375
2021-08-13,CTD7,4176723.693900513,690396.7024300082,0.009460298,0.01971055,0.040124085,0.014808556,0.011122643,0.0029545105,0.002854924,0.0011016023,0.009322301,0.01985533,0.040193636,0.014768612,0.011123433,0.0029454748,0.23299123,-0.0,5.792006714285714
2021-08-13,CTD8,4174178.030118922,693047.7091175154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.885601025000001
2021-08-13,CTD10,4170388.237872792,695645.9552495586,0.008238203,0.013465443,0.022848086,0.012687592,0.011555999,0.00364995,0.0035837607,0.0014228727,0.00819233,0.013321336,0.022923827,0.012682153,0.011234556,0.0036458152,0.47756115,-0.0,5.857466742857142
2021-08-13,CTD11,4169608.9781368254,700350.5509754587,0.0017248602,0.004076949,0.010246642,0.0049597756,0.0042581363,0.0012525353,0.0012261247,0.00049129076,0.0017359611,0.0040523037,0.010378746,0.005060798,0.004170863,0.00128179,0.2987639,-0.0,3.8058646166666663
2021-08-13,CTD12,4173437.93021035,695413.5305598581,0.0020911533,0.0060100122,0.018555162,0.009130258,0.007584046,0.0020679466,0.0020121413,0.00077595207,0.002091502,0.006151476,0.019098822,0.009241166,0.007391433,0.0021751877,0.14152047,-0.0,5.4260422875
2021-11-11,CTD1,4187246.4763657423,695024.7116773892,0.0021166224,0.006110316,0.0150418775,0.004704654,0.0029506679,0.0007865143,0.00076115347,0.00030666302,0.0021160569,0.0063015306,0.015184322,0.004597892,0.0030822044,0.00077267626,2.970743e-05,-0.0,1.2893283
2021-11-11,CTD2,4181518.346026066,693105.1561410306,0.007896812,0.0112023195,0.0137996245,0.005138624,0.004023219,0.0012349812,0.001224312,0.00051010936,0.007960324,0.011156642,0.013607963,0.005052033,0.0040594554,0.0012349343,0.13890289,-0.0,1.6323295
2021-11-11,CTD3,4181698.0921413857,695238.4758410116,0.0070057996,0.010700263,0.0110225985,0.002332903,0.0015528295,0.0004336566,0.00042276498,0.00017118265,0.007055703,0.010698118,0.010857256,0.0022881941,0.0016083785,0.00043316052,0.056636866,-0.0,1.3926151375
