Time Interval,Date,Buoy,Latitude,Longitude,Row,Col,Pixel_Value
"('2021-04-11', '2021-04-15')",2021-04-15,CTD-8,37.694517,-0.8104,1444,479,
"('2021-04-11', '2021-04-15')",2021-04-15,CTD-9,37.666817,-0.809683,1756,485,
"('2021-04-11', '2021-04-15')",2021-04-15,CTD-10,37.659833,-0.781967,1834,720,
"('2021-04-11', '2021-04-15')",2021-04-15,CTD-11,37.6518,-0.728883,1925,1169,
"('2021-04-11', '2021-04-15')",2021-04-15,CTD-12,37.68735,-0.783783,1525,704,
"('2021-04-16', '2021-04-20')",2021-04-20,CTD-1,37.8118,-0.784483,123,698,25.007368
"('2021-04-16', '2021-04-20')",2021-04-20,CTD-2,37.760617,-0.8078,700,501,11.008989
"('2021-04-16', '2021-04-20')",2021-04-20,CTD-3,37.761783,-0.78355,687,706,15.264938
"('2021-04-16', '2021-04-20')",2021-04-20,CTD-4,37.748233,-0.749617,839,994,10.705495
"('2021-04-16', '2021-04-20')",2021-04-20,CTD-5,37.74045,-0.727117,927,1184,11.568413
"('2021-04-16', '2021-04-20')",2021-04-20,CTD-6,37.710417,-0.778383,1265,750,13.800647
"('2021-04-16', '2021-04-20')",2021-04-20,CTD-7,37.718,-0.839783,1179,230,12.971393
"('2021-04-16', '2021-04-20')",2021-04-20,CTD-8,37.694517,-0.8104,1444,479,10.643638
"('2021-04-16', '2021-04-20')",2021-04-20,CTD-9,37.666817,-0.809683,1756,485,6.2545915
"('2021-04-16', '2021-04-20')",2021-04-20,CTD-10,37.659833,-0.781967,1834,720,11.01454
"('2021-04-16', '2021-04-20')",2021-04-20,CTD-11,37.6518,-0.728883,1925,1169,6.092188
"('2021-04-16', '2021-04-20')",2021-04-20,CTD-12,37.68735,-0.783783,1525,704,15.409763
"('2021-04-21', '2021-04-25')",2021-04-25,CTD-1,37.8118,-0.784483,123,698,
"('2021-04-21', '2021-04-25')",2021-04-25,CTD-2,37.760617,-0.8078,700,501,
"('2021-04-21', '2021-04-25')",2021-04-25,CTD-3,37.761783,-0.78355,687,706,
"('2021-04-21', '2021-04-25')",2021-04-25,CTD-4,37.748233,-0.749617,839,994,
"('2021-04-21', '2021-04-25')",2021-04-25,CTD-5,37.74045,-0.727117,927,1184,15.853262
"('2021-04-21', '2021-04-25')",2021-04-25,CTD-6,37.710417,-0.778383,1265,750,
"('2021-04-21', '2021-04-25')",2021-04-25,CTD-7,37.718,-0.839783,1179,230,
"('2021-04-21', '2021-04-25')",2021-04-25,CTD-8,37.694517,-0.8104,1444,479,
"('2021-04-21', '2021-04-25')",2021-04-25,CTD-9,37.666817,-0.809683,1756,485,
